Station Name,Postal Code,Category,Subcategory
SCHOOL / LANIER1,78758,Education,High School / Other
HYATT PLACE / HP STATION 3,78719,Hospitality,Hotel / Resort
AVIATION / 5TH FLOOR,78719,Parks and Recreation,
AISD PAC / AISD PAC #1,78723,Education,High School / Other
SCHOOL / TRAVIS2,78704,Education,High School / Other
COA / DOA - CONRAC2,78719,Retail,Car Rental / Car Share
ACC-AE / RIO GRANDE GAR2,78701,Education,University / College
AISD PAC / AISD PAC #4,78723,Education,High School / Other
SLEEP INN / SLEEP INN 1,78754,Hospitality,Hotel / Resort
3600WESTPARMER! / STATION1,78727,Retail,Shopping Center
AISD PAC / AISD PAC #3,78723,Education,High School / Other
HYATT PLACE / HP STATION 2,78719,Hospitality,Hotel / Resort
MUELLER MARKET / MUELLER 2,78723,Retail,Shopping Center
HEB / HEB LAKEWAY #2,78734,Retail,Big Box / Superstore
HEB / HEB LAKEWAY #1,78734,Retail,Big Box / Superstore
PIE AE / PUBDITTMAR2,78745,Parks and Recreation,
ACC-AE / RIO GRANDE GAR1,78701,Education,University / College
DSMCUT / EVSE05 FLOOR L3,78701,Healthcare,Hospital / Treatment Center
DSMCUT / EVSE07 FLOOR L1,78701,Healthcare,Hospital / Treatment Center
SCHOOL / AKINS1,78748,Education,High School / Other
PIE AE / PUB UTPICKLE2,78758,Education,University / College
SCHOOL / TRAVIS1,78704,Education,High School / Other
COA / DOA - CONRAC1,78719,Retail,Car Rental / Car Share
DSMCUT / EVSE06 FLOOR L2,78701,Healthcare,Hospital / Treatment Center
PIE AE / ZILKER PARK PH1,78746,Parks and Recreation,
DSMCUT / EVSE03 FLOOR L5,78701,Healthcare,Hospital / Treatment Center
AVIATION / 4TH FLOOR,78719,Parks and Recreation,
DSMCUT / EVSE02 FLOOR L6,78701,Healthcare,Hospital / Treatment Center
120 ENTRANCE / ACH MAIN,78704,Hospitality,Hotel / Resort
PARKSIDE 1 / PARKSIDE1,78758,Retail,Shopping Center
PIE AE / ZILKERPARKPOLO2,78746,Parks and Recreation,
DSMCUT / EVSE01 FLOOR L7,78701,Healthcare,Hospital / Treatment Center
PIE AE / PUBDITTMAR1,78745,Parks and Recreation,
SCHOOL / KEALING1,78702,Education,High School / Other
PARK PLAZA / STATION1,78703,Retail,Strip Mall
DSMCUT / EVSE04 FLOOR L4,78701,Healthcare,Hospital / Treatment Center
DSMCUT / EVSE09 FLOOR LL,78701,Healthcare,Hospital / Treatment Center
HYATT PLACE / HP STATION 1,78719,Hospitality,Hotel / Resort
AISD PAC / AISD PAC #2,78723,Education,High School / Other
ST. ED'S / GARAGE STATION1,78704,Education,University / College
AISD PAC / AISD PAC #5,78723,Education,High School / Other
PIE AE / ZILKERPARKPOLO1,78746,Parks and Recreation,
GOODHEALTH / STATION 1,78744,Healthcare,Hospital / Treatment Center
DSMCUT / EVSE08 G LEVEL,78701,Healthcare,Hospital / Treatment Center
